price,brand,model,year,title_status,mileage,color,state
26500,chrysler,pacifica,2017,clean vehicle,18375,gray,michigan
24802,chevrolet,colorado,2017,clean vehicle,14158,gray,michigan
7070,ford,mpv,2017,clean vehicle,30318,black,texas
28500,ford,door,2017,clean vehicle,48086,red,south carolina
47500,cadillac,door,2017,clean vehicle,26562,black,michigan
23500,ford,explorer,2017,clean vehicle,57611,black,south carolina
23505,chevrolet,colorado,2017,clean vehicle,47357,black,michigan
10940,ford,door,2017,clean vehicle,84916,white,texas
32100,ford,f-150,2017,clean vehicle,24521,gray,south carolina
53000,chevrolet,3500,2018,clean vehicle,16105,black,washington
6830,ford,mpv,2017,clean vehicle,35888,gold,texas
11900,dodge,caravan,2017,clean vehicle,59537,gray,south carolina
26414,chevrolet,1500,2017,clean vehicle,55222,black,michigan
4160,dodge,mpv,2018,clean vehicle,32870,gray,florida
19405,chevrolet,door,2017,clean vehicle,39687,silver,michigan
5690,dodge,mpv,2018,clean vehicle,47085,silver,florida
25900,chrysler,van,2017,clean vehicle,32224,silver,south carolina
24005,chevrolet,1500,2017,clean vehicle,51293,beige,michigan
5090,dodge,mpv,2018,clean vehicle,42989,gray,florida
19500,chrysler,300,2017,clean vehicle,31311,gray,arizona
32012,chevrolet,1500,2017,clean vehicle,46091,white,michigan
6800,dodge,dart,2016,clean vehicle,49033,black,michigan
4260,dodge,mpv,2018,clean vehicle,33957,gray,florida
0,dodge,van,2008,salvage insurance,177948,orange,utah
31802,chevrolet,2500,2017,clean vehicle,19845,silver,michigan
7210,dodge,doors,2018,clean vehicle,38910,black,florida
0,dodge,door,2014,salvage insurance,123660,silver,utah
28402,chevrolet,1500,2017,clean vehicle,31234,black,michigan
6800,dodge,doors,2018,clean vehicle,36767,gray,florida
33300,cadillac,esv,2015,clean vehicle,57932,gray,washington
10780,dodge,mpv,2018,clean vehicle,19420,white,florida
6700,ford,cutaway,2014,clean vehicle,204155,beige,pennsylvania
20000,chevrolet,1500,2016,clean vehicle,93493,white,washington
6440,chrysler,doors,2018,clean vehicle,20942,gray,florida
19900,ford,door,2016,clean vehicle,86826,gray,south carolina
37000,chevrolet,door,2015,clean vehicle,45787,white,washington
4040,dodge,mpv,2018,clean vehicle,50765,red,florida
22300,ford,explorer,2016,clean vehicle,62774,black,south carolina
31200,chevrolet,door,2011,clean vehicle,76326,gray,washington
4290,dodge,mpv,2018,clean vehicle,39029,white,florida
22800,ford,el,2016,clean vehicle,72885,silver,south carolina
19002,cadillac,door,2016,clean vehicle,46467,white,michigan
4160,dodge,mpv,2018,clean vehicle,6743,gray,florida
18500,ford,edge,2016,clean vehicle,33514,white,south carolina
39000,bmw,series,2016,clean vehicle,39917,blue,michigan
6060,dodge,doors,2018,clean vehicle,32504,black,florida
28800,ford,door,2016,clean vehicle,77638,white,south carolina
40000,bmw,series,2016,clean vehicle,31727,gray,michigan
6140,dodge,doors,2018,clean vehicle,52966,silver,florida
21000,ford,flex,2016,clean vehicle,24157,gray,south carolina
20105,buick,door,2016,clean vehicle,51393,beige,michigan
6760,dodge,doors,2018,clean vehicle,35461,white,florida
25800,ford,door,2014,clean vehicle,47055,brown,pennsylvania
39000,bmw,series,2016,clean vehicle,33110,black,michigan
5470,dodge,mpv,2018,clean vehicle,39721,black,florida
14600,ford,door,2014,clean vehicle,75785,black,pennsylvania
24502,chevrolet,1500,2016,clean vehicle,33624,black,michigan
15110,ford,door,2017,clean vehicle,42289,white,texas
7900,ford,door,2014,clean vehicle,79422,white,new york
27305,chevrolet,door,2016,clean vehicle,28844,blue,michigan
15290,ford,door,2017,clean vehicle,66582,white,texas
26500,ford,door,2015,clean vehicle,61436,silver,south carolina
25502,chevrolet,door,2016,clean vehicle,58303,silver,michigan
7320,ford,mpv,2017,clean vehicle,55618,white,texas
3800,chevrolet,van,2009,clean vehicle,261648,white,michigan
24502,chevrolet,door,2016,clean vehicle,33045,white,michigan
4140,ford,door,2017,clean vehicle,40747,white,texas
1400,dodge,pk,2002,clean vehicle,185460,black,michigan
18402,cadillac,srx,2016,clean vehicle,26667,gray,michigan
4160,ford,door,2017,clean vehicle,37176,white,texas
175,chrysler,door,2000,salvage insurance,231240,red,north carolina
24503,chevrolet,colorado,2016,clean vehicle,18006,brown,michigan
15840,ford,door,2017,clean vehicle,72445,white,texas
20500,ford,door,2014,clean vehicle,123355,black,south carolina
21003,chevrolet,1500,2016,clean vehicle,44116,silver,michigan
4200,ford,door,2017,clean vehicle,60219,red,texas
17400,ford,door,2011,clean vehicle,135077,red,georgia
32001,chevrolet,door,2016,clean vehicle,32058,black,michigan
0,ford,mpv,2017,clean vehicle,76858,white,texas
15700,ford,cab,2011,clean vehicle,309564,white,south carolina
31009,chevrolet,door,2016,clean vehicle,33928,white,michigan
3740,ford,wagon,2017,clean vehicle,90618,white,texas
5000,dodge,pickup,2001,clean vehicle,109360,white,georgia
31002,chevrolet,door,2016,clean vehicle,71809,white,michigan
3160,ford,doors,2017,clean vehicle,31563,gray,texas
8600,dodge,pickup,2005,clean vehicle,219823,gray,south carolina
6000,chevrolet,malibu,2018,clean vehicle,42090,gray,texas
12990,ford,door,2017,clean vehicle,126523,white,texas
25,chevrolet,vehicl,2020,salvage insurance,7232,black,kentucky
13200,buick,encore,2017,clean vehicle,60171,black,texas
4410,ford,wagon,2017,clean vehicle,209915,white,texas
25,chrysler,door,2005,salvage insurance,151815,silver,massachusetts
22500,chevrolet,camaro,2020,clean vehicle,13826,green,georgia
7420,ford,mpv,2017,clean vehicle,55854,white,texas
13500,ford,door,2016,clean vehicle,45757,silver,arizona
15500,chevrolet,trax,2020,clean vehicle,16545,white,georgia
3540,ford,door,2017,clean vehicle,112893,white,texas
17000,ford,door,2016,clean vehicle,126802,no_color,florida
45500,chevrolet,tahoe,2020,clean vehicle,13303,white,georgia
4130,ford,door,2017,clean vehicle,34061,silver,texas
15700,ford,door,2015,clean vehicle,70251,white,arizona
45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,georgia
4130,ford,doors,2017,clean vehicle,42426,gray,texas
15500,dodge,door,2012,clean vehicle,66452,black,pennsylvania
16300,chevrolet,trax,2020,clean vehicle,18221,white,georgia
4530,ford,mpv,2017,clean vehicle,41455,white,texas
15600,dodge,door,2011,clean vehicle,35275,black,pennsylvania
45500,chevrolet,tahoe,2020,clean vehicle,13885,white,georgia
4100,ford,door,2017,clean vehicle,38815,gray,texas
18200,dodge,door,2011,clean vehicle,162281,white,pennsylvania
10200,chevrolet,door,2013,clean vehicle,56479,black,texas
4080,ford,doors,2017,clean vehicle,61027,black,texas
5700,ford,van,2014,clean vehicle,178703,white,florida
10200,chevrolet,3500,2014,clean vehicle,173469,white,texas
5000,ford,door,2017,clean vehicle,37321,white,texas
1700,ford,door,2014,clean vehicle,112789,white,florida
6200,bmw,door,2011,clean vehicle,80394,gray,texas
3650,ford,door,2016,clean vehicle,68142,white,texas
10500,dodge,door,2014,clean vehicle,74203,white,arizona
43500,chevrolet,2500,2018,clean vehicle,57604,white,georgia
4610,dodge,van,2016,clean vehicle,87229,silver,texas
3450,ford,door,2012,clean vehicle,90711,white,florida
38500,chevrolet,suburban,2018,clean vehicle,11135,silver,georgia
6810,ford,mpv,2016,clean vehicle,66781,silver,texas
2900,ford,cargo,2011,clean vehicle,190994,white,florida
43500,chevrolet,2500,2018,clean vehicle,56007,white,georgia
4450,ford,mpv,2016,clean vehicle,32486,white,texas
5800,ford,door,2011,clean vehicle,195908,white,florida
16500,chevrolet,equinox,2018,clean vehicle,18020,silver,georgia
4240,dodge,mpv,2016,clean vehicle,83262,white,texas
26500,ford,pickup,2008,clean vehicle,62015,white,pennsylvania
13700,chevrolet,equinox,2017,clean vehicle,36421,silver,georgia
8600,ford,door,2016,clean vehicle,73321,white,texas
8000,ford,chassis,2008,clean vehicle,132379,white,florida
14200,chevrolet,equinox,2017,clean vehicle,28013,silver,georgia
7040,ford,mpv,2016,clean vehicle,33291,silver,texas
4700,ford,chassis,2005,clean vehicle,225236,no_color,florida
30851,chevrolet,door,2016,clean vehicle,43176,red,georgia
4880,ford,mpv,2016,clean vehicle,36876,silver,texas
14500,dodge,pickup,2006,clean vehicle,111782,silver,pennsylvania
7600,chevrolet,door,2017,clean vehicle,110489,brown,nebraska
13270,ford,door,2016,clean vehicle,84035,white,texas
12800,ford,door,2012,clean vehicle,131101,gray,arizona
33000,chevrolet,1500,2018,clean vehicle,52521,white,ontario
9280,ford,door,2016,clean vehicle,101380,white,texas
900,ford,van,2003,clean vehicle,142027,white,florida
7560,ford,door,2016,clean vehicle,111476,gray,texas
19500,ford,drw,2011,clean vehicle,76897,white,pennsylvania
17100,chevrolet,malibu,2019,clean vehicle,15780,white,washington
8020,ford,door,2016,clean vehicle,31944,white,texas
10300,ford,fiesta,2019,clean vehicle,18937,black,missouri
22600,chevrolet,van,2019,clean vehicle,9706,white,washington
10480,ford,doors,2016,clean vehicle,57289,gray,texas
10300,ford,fiesta,2019,clean vehicle,19956,silver,missouri
22700,chevrolet,van,2019,clean vehicle,6075,white,washington
7410,ford,door,2016,clean vehicle,21034,gray,texas
10300,ford,fiesta,2019,clean vehicle,22881,gray,missouri
10300,chevrolet,door,2013,clean vehicle,167600,gray,washington
7570,ford,door,2016,clean vehicle,37252,white,texas
67000,dodge,challenger,2019,clean vehicle,10944,blue,ohio
18900,chevrolet,impala,2019,clean vehicle,27601,white,texas
12560,ford,doors,2019,clean vehicle,15958,white,florida
33000,dodge,durango,2019,clean vehicle,32251,white,ohio
18300,chevrolet,impala,2019,clean vehicle,25809,black,texas
11760,ford,cab,2017,clean vehicle,30553,white,texas
31700,dodge,durango,2019,clean vehicle,26549,red,ohio
25,dodge,door,2007,salvage insurance,160528,dark blue,minnesota
0,ford,door,2000,salvage insurance,124969,black,oklahoma
7340,ford,doors,2019,clean vehicle,15854,gray,florida
8200,hyundai,door,2017,clean vehicle,56690,white,connecticut
3000,kia,door,2013,clean vehicle,97142,silver,missouri
6530,jeep,mpv,2019,clean vehicle,10185,black,georgia
0,mazda,door,2009,salvage insurance,117541,gray,indiana
12700,kia,soul,2019,clean vehicle,23514,silver,california
13800,kia,sorento,2017,clean vehicle,86959,gray,north carolina
0,chevrolet,pickup,1998,salvage insurance,258631,gray,texas
725,ford,door,2017,salvage insurance,67279,gray,virginia
7400,ford,doors,2019,clean vehicle,16482,gray,florida
9800,hyundai,elantra,2017,clean vehicle,35687,red,connecticut
0,honda,door,2003,salvage insurance,152608,white,arkansas
4400,jeep,mpv,2019,clean vehicle,17911,green,georgia
10330,infiniti,mpv,2019,clean vehicle,21278,blue,florida
1800,chevrolet,door,2011,salvage insurance,47269,black,arkansas
50,chevrolet,door,2008,salvage insurance,172102,blue,texas
720,ford,wagon,2006,clean vehicle,26914,no_color,florida
22800,ford,door,2017,clean vehicle,67217,red,michigan
2500,ford,door,2017,salvage insurance,78698,black,california
0,ford,door,2003,salvage insurance,246065,gold,kansas
9190,gmc,mpv,2017,clean vehicle,41961,black,virginia
10900,jeep,mpv,2019,clean vehicle,13273,red,michigan
10400,infiniti,mpv,2019,clean vehicle,31713,black,florida
0,chevrolet,door,2004,salvage insurance,0,maroon,wyoming
0,chevrolet,door,2003,salvage insurance,194673,gray,texas
7320,chevrolet,pickup,2008,clean vehicle,325611,silver,florida
22809,ford,f-150,2017,clean vehicle,50732,black,michigan
0,ford,van,1998,salvage insurance,186855,blue,california
0,ford,door,2013,salvage insurance,94004,black,minnesota
5520,gmc,mpv,2017,clean vehicle,52904,silver,virginia
10900,jeep,mpv,2019,clean vehicle,14195,orange,michigan
6330,jeep,mpv,2019,clean vehicle,43965,red,florida
0,chevrolet,door,2009,salvage insurance,117059,black,colorado
25,chevrolet,pickup,2010,salvage insurance,149189,white,colorado
2320,dodge,door,2007,clean vehicle,112182,red,florida
23702,ford,door,2017,clean vehicle,49024,black,michigan
0,ford,chassis,1994,salvage insurance,0,green,california
0,ford,door,1997,salvage insurance,203297,green,minnesota
5520,gmc,mpv,2017,clean vehicle,35821,silver,virginia
4050,heartland,pioneer,2018,clean vehicle,1,gray,pennsylvania
14810,infiniti,mpv,2019,clean vehicle,32611,brown,florida
25,chevrolet,door,2011,salvage insurance,105244,white,colorado
2960,chrysler,van,2008,clean vehicle,164048,red,florida
24800,ford,door,2017,clean vehicle,46955,gray,michigan
0,ford,door,1996,salvage insurance,296860,green,california
0,ford,door,2006,salvage insurance,203158,red,illinois
6270,gmc,mpv,2017,clean vehicle,70443,black,virginia
1880,heartland,trail,2012,clean vehicle,1,white,pennsylvania
10050,infiniti,mpv,2019,clean vehicle,18229,gray,florida
225,chevrolet,door,2014,salvage insurance,87673,red,colorado
26900,chevrolet,traverse,2018,clean vehicle,42941,black,missouri
1420,chrysler,door,2007,clean vehicle,104405,gold,florida
27003,ford,door,2017,clean vehicle,57186,black,michigan
0,ford,door,2002,salvage insurance,214800,black,south carolina
350,ford,door,2004,salvage insurance,236980,gray,illinois
5600,gmc,mpv,2017,clean vehicle,59808,black,virginia
6680,heartland,country,2011,clean vehicle,1,gray,pennsylvania
10120,infiniti,mpv,2019,clean vehicle,20681,white,florida
0,chevrolet,door,2010,salvage insurance,137422,red,colorado
3920,ford,door,2015,clean vehicle,102700,white,georgia
23100,ford,door,2017,clean vehicle,53270,black,michigan
0,gmc,door,2004,salvage insurance,235348,gold,south carolina
5630,gmc,mpv,2017,clean vehicle,27195,black,virginia
0,heartland,sundance,2009,clean vehicle,1,white,pennsylvania
2800,jaguar,doors,2019,clean vehicle,20849,black,florida
0,chevrolet,door,2008,salvage insurance,159266,gray,california
8850,ford,door,2015,clean vehicle,143818,black,georgia
18712,ford,f-150,2017,clean vehicle,67347,black,michigan
0,ford,pickup,2009,salvage insurance,180364,blue,tennessee
0,ford,door,2009,salvage insurance,184889,black,illinois
6300,gmc,mpv,2017,clean vehicle,117400,blue,virginia
2220,heartland,country,2010,clean vehicle,1,white,pennsylvania
6930,jeep,mpv,2019,clean vehicle,47798,red,florida
25,chevrolet,door,2008,salvage insurance,130623,white,california
3440,ford,door,2015,clean vehicle,124542,white,georgia
50412,ford,door,2017,clean vehicle,47129,black,michigan
25,ford,pickup,1994,salvage insurance,206162,white,georgia
950,ford,pk,2001,salvage insurance,229886,red,illinois
9270,gmc,mpv,2017,clean vehicle,19490,gray,virginia
11380,jeep,mpv,2019,clean vehicle,12038,black,michigan
5350,hyundai,mpv,2019,clean vehicle,43536,blue,florida
2725,chevrolet,door,2004,salvage insurance,308451,black,south carolina
3790,ford,door,2015,clean vehicle,100893,gray,georgia
40514,ford,door,2017,clean vehicle,90304,white,michigan
0,ford,door,1997,salvage insurance,146912,green,wisconsin
0,ford,door,1998,salvage insurance,131367,white,illinois
9190,gmc,mpv,2017,clean vehicle,31394,gray,virginia
10330,infiniti,mpv,2019,clean vehicle,25933,gray,florida
1000,acura,door,2008,salvage insurance,118250,gray,michigan
2925,bmw,door,2013,salvage insurance,46060,white,florida
3830,ford,door,2015,clean vehicle,50593,gold,georgia
43402,ford,door,2017,clean vehicle,62387,blue,michigan
1025,gmc,door,2009,salvage insurance,169634,black,michigan
17200,honda,van,2016,clean vehicle,72527,gray,new jersey
54680,harley-davidson,road/street,2016,clean vehicle,9502,black,virginia
6940,honda,door,2010,clean vehicle,217290,no_color,pennsylvania
13080,infiniti,mpv,2019,clean vehicle,17243,gray,florida
25,chevrolet,door,2007,salvage insurance,194903,gray,virginia
10630,ford,door,2015,clean vehicle,82899,white,georgia
43009,ford,door,2017,clean vehicle,76418,white,michigan
25,gmc,door,2003,salvage insurance,138441,white,michigan
4600,ford,pickup,2006,salvage insurance,240740,brown,mississippi
4950,honda,mpv,2016,clean vehicle,71404,black,virginia
3760,hyundai,doors,2019,clean vehicle,30382,silver,florida
3900,acura,door,2009,clean vehicle,179389,black,texas
0,cadillac,coupe,2000,salvage insurance,105169,white,virginia
3830,ford,door,2015,clean vehicle,82534,silver,georgia
53500,ford,door,2017,clean vehicle,55732,white,michigan
25,ford,door,2010,salvage insurance,198596,gray,michigan
25,ford,door,1998,salvage insurance,300021,brown,arkansas
6240,honda,door,2015,clean vehicle,83623,silver,virginia
4150,jeep,door,2014,clean vehicle,108895,white,new york
25,jeep,door,1999,salvage insurance,226972,black,florida
61200,bmw,series,2020,clean vehicle,7509,black,california
0,buick,door,2006,salvage insurance,137464,blue,virginia
13500,bmw,series,2014,clean vehicle,33542,blue,new jersey
6490,ford,door,2015,clean vehicle,74754,black,georgia
51502,ford,door,2017,clean vehicle,27661,black,michigan
250,ford,door,2010,salvage insurance,115241,white,michigan
25,ford,door,1984,salvage insurance,41577,white,arkansas
8160,honda,van,2015,clean vehicle,109027,gray,virginia
7770,jeep,door,2014,clean vehicle,72732,gray,new york
200,jeep,door,2001,salvage insurance,126400,green,maryland
25,audi,door,2008,salvage insurance,177422,black,texas
0,chevrolet,door,1995,salvage insurance,274706,green,arizona
1825,bmw,coupe,2008,salvage insurance,77984,white,georgia
39800,bmw,series,2017,clean vehicle,23177,blue,california
9210,ford,door,2015,clean vehicle,26911,silver,georgia
58500,ford,srw,2019,clean vehicle,21527,blue,washington
125,ford,door,2014,salvage insurance,56461,silver,michigan
3960,honda,door,2015,clean vehicle,95128,white,virginia
5998,hyundai,doors,2014,clean vehicle,122975,phantom black,new york
3700,honda,doors,2014,clean vehicle,162824,blue,new york
0,kia,wagon,2008,salvage insurance,148463,silver,indiana
0,audi,door,2005,salvage insurance,181896,black,california
0,bmw,door,2000,salvage insurance,216657,gray,utah
5000,gmc,door,2012,clean vehicle,140339,black,utah
15050,infiniti,mpv,2019,clean vehicle,26786,white,texas
3960,hyundai,doors,2019,clean vehicle,35623,red,ohio
36300,lincoln,nautilus,2019,clean vehicle,14541,black,california
55600,lexus,gx,2020,clean vehicle,8186,silver,florida
2630,nissan,doors,2018,clean vehicle,36739,gray,california
5690,nissan,mpv,2017,clean vehicle,42616,blue,new jersey
19500,audi,q5,2017,clean vehicle,65833,blue,texas
450,chevrolet,coupe,2008,salvage insurance,123515,yellow,minnesota
20400,cadillac,door,2015,clean vehicle,36122,white,wisconsin
4320,chevrolet,door,2011,clean vehicle,88359,brown,florida
33001,ford,f-150,2017,clean vehicle,35905,gray,michigan
10000,ford,door,2017,salvage insurance,35747,red,arkansas
0,ford,door,2004,salvage insurance,167011,red,maryland
5790,gmc,door,2012,clean vehicle,105020,white,utah
14750,infiniti,mpv,2019,clean vehicle,11047,black,texas
4010,hyundai,doors,2019,clean vehicle,31233,silver,ohio
40000,mercedes-benz,gle,2019,clean vehicle,19427,white,california
13000,kia,sportage,2017,clean vehicle,71991,silver,new jersey
3550,nissan,doors,2018,clean vehicle,29043,blue,california
3040,nissan,doors,2017,clean vehicle,36064,gray,new jersey
0,chevrolet,coupe,2008,salvage insurance,270080,yellow,illinois
36400,audi,5,2015,clean vehicle,47213,black,wisconsin
4480,ford,door,2011,clean vehicle,116480,black,florida
31003,ford,door,2017,clean vehicle,72084,red,michigan
75,ford,pickup,2001,salvage insurance,295780,gold,arkansas
8850,gmc,door,2011,clean vehicle,148035,white,utah
14750,infiniti,mpv,2019,clean vehicle,11396,white,texas
4690,hyundai,mpv,2019,clean vehicle,33785,silver,ohio
23000,land,sport,2018,clean vehicle,20103,black,california
46900,land,discovery,2018,clean vehicle,32387,black,florida
10740,mercedes-benz,doors,2018,clean vehicle,48140,white,california
3160,nissan,doors,2017,clean vehicle,34861,gray,new jersey
0,chevrolet,door,2006,salvage insurance,268040,silver,texas
3450,chrysler,door,2011,clean vehicle,114119,gold,florida
27102,ford,f-150,2017,clean vehicle,34165,red,michigan
500,gmc,door,2018,salvage insurance,27442,black,arkansas
5100,gmc,door,2011,clean vehicle,144792,white,utah
15010,infiniti,mpv,2019,clean vehicle,11394,beige,texas
5800,jeep,mpv,2019,clean vehicle,30546,silver,ohio
23200,land,sport,2018,clean vehicle,23745,black,california
8000,hyundai,door,2015,clean vehicle,88274,red,pennsylvania
3390,nissan,doors,2018,clean vehicle,38349,gray,california
3140,nissan,doors,2017,clean vehicle,30142,white,new jersey
25,chevrolet,door,2007,salvage insurance,267834,black,texas
15000,bmw,door,2014,clean vehicle,44730,silver,illinois
10440,chevrolet,cab,2011,clean vehicle,92476,blue,florida
23911,ford,f-150,2017,clean vehicle,25698,black,michigan
25,ford,pk,2010,salvage insurance,155242,gray,oklahoma
21400,gmc,acadia,2018,clean vehicle,54332,gray,new jersey
5380,gmc,cab,2011,clean vehicle,119215,white,utah
11000,jeep,mpv,2019,clean vehicle,8930,red,michigan
4950,jeep,mpv,2019,clean vehicle,46985,silver,ohio
22500,land,sport,2018,clean vehicle,30220,black,california
30300,maserati,ghibli,2017,clean vehicle,37021,black,florida
2630,nissan,doors,2018,clean vehicle,43152,white,california
3140,nissan,doors,2017,clean vehicle,34318,silver,new jersey
